,Topic,Time Queried,Title,Video IDs,Published At,Duration,View Count,Like Count,Dislike Count
0,Economics,2020-08-21 22:08:50.257000,🔴Economics Non Stop  by Afreen Ma&#39;am (Timestamps in description),9oILKKRO82s,2020-05-06T12:30:13Z,PT11H55M,637587,34151,1024
1,Economics,2020-08-21 22:08:50.257023,"Economics gk in hindi | Economy Most Important Questions | Railway-D, NTPC, SSC, PCS, UPSC, CDS, GD",bbmtUeSV1vQ,2020-06-13T09:30:12Z,PT27M20S,39987,2497,78
2,Economics,2020-08-21 22:08:50.257029,Why Becoming A Cashless Society Is A Terrible Idea,7XtafuTCWQ0,2020-08-20T13:49:10Z,PT16M30S,164060,8838,255
3,Economics,2020-08-21 22:08:50.257034,Introduction of economics hindi,sudPOYl9xww,2018-04-03T12:42:43Z,PT10M38S,46398,1253,67
4,Economics,2020-08-21 22:08:50.257041,Lec-1 || Basics of ECONOMICS || #ACCOUNT ASSISTANT II #JKSSB,wry_k7-0YDM,2020-05-04T12:44:26Z,PT25M19S,56582,3696,39
5,Economics,2020-08-21 22:08:50.257046,Economics for SSC CGL by Afreen Mam अर्थशास्त्र Lecture - 1 GS Special NEW BATCH Economics in Hindi,_Z8xKBjAe3U,2019-05-16T07:28:36Z,PT1H27M55S,1482407,65200,2487
6,Economics,2020-08-21 22:08:50.257051,"ECONOMICS MASTER CLASS 1 | RRB NTPC, SSC CGL, RRB GROUP D, UPSC PRE, STATE PCS, CDS, AFCAT, NDA |",p-YqQHGIOXQ,2019-04-30T07:33:26Z,PT7H38M5S,678707,25876,466
7,Economics,2020-08-21 22:08:50.257057,"Basics of Economics in Bengali for WBCS, WB PCS, WB SSC, WBGDRB &amp; other WB exams | #1",ZdW0p7LzayE,2019-07-09T15:28:48Z,PT20M21S,17083,894,28
8,Economics,2020-08-21 22:08:50.257062,"Most important economic gk Questions | Current affairs 2019 | Economics gk in hindi | Railway, SSC",xWAaasQe-oU,2019-07-12T03:37:05Z,PT16M57S,392537,14232,488
9,Economics,2020-08-21 22:08:50.257068,KITE VICTERS Plus two Economics Class 04 (First Bell-ഫസ്റ്റ് ബെല്‍),EfvhZYd6mDY,2020-06-26T04:03:38Z,PT27M55S,132069,4458,217
10,Economics,2020-08-21 22:08:50.257073,"मुद्रा व बैंकिंग | Part-1 | Economics | Special For RAS &amp; IAS, SI, HM | By R. Kumar Sir",LDSbKFQlfhE,2018-07-29T11:57:32Z,PT1H8M26S,335892,7421,291
